DT,ruo,vol,T,C,MinRate,Percentile25,Percentile75,MaxRate,StatusXML,DateUpdate
4/22/2021,4.3600,148.4000,34,20,4.25,4.35,4.40,4.50,0,4/23/2021
4/21/2021,4.3500,166.9000,37,21,4.25,4.35,4.40,4.50,0,4/22/2021
4/20/2021,4.3700,112.1000,32,22,4.00,4.30,4.40,4.55,0,4/21/2021
4/19/2021,4.2700,111.1000,30,23,4.00,4.25,4.50,4.60,0,4/20/2021
4/16/2021,4.4500,236.4000,41,22,4.35,4.45,4.50,4.60,0,4/19/2021
4/15/2021,4.4700,205.4000,43,21,4.25,4.45,4.55,4.65,0,4/16/2021
4/14/2021,4.4600,227.0000,45,24,4.20,4.45,4.50,4.60,0,4/15/2021
4/13/2021,4.5200,76.1000,21,19,4.25,4.50,4.60,4.65,0,4/14/2021
4/12/2021,4.4600,41.8000,18,18,4.20,4.40,4.60,4.65,0,4/13/2021
4/9/2021,4.4300,62.3000,25,19,4.40,4.40,4.50,4.70,0,4/12/2021
4/8/2021,4.4500,67.0500,23,19,4.15,4.40,4.50,4.60,0,4/9/2021
4/7/2021,4.3700,61.4500,22,18,4.25,4.35,4.40,4.50,0,4/8/2021
4/6/2021,4.1200,51.1500,24,21,3.75,4.00,4.30,4.45,0,4/7/2021
4/5/2021,4.2500,162.5500,37,25,3.75,4.10,4.35,4.50,0,4/6/2021
4/2/2021,4.3800,141.1000,44,23,4.15,4.34,4.45,4.50,0,4/5/2021
4/1/2021,4.4500,80.6500,33,20,4.20,4.40,4.50,4.75,0,4/2/2021
3/31/2021,4.4500,91.5500,29,18,4.30,4.40,4.50,4.55,0,4/1/2021
3/30/2021,4.4800,123.3500,31,21,4.25,4.40,4.50,4.60,0,3/31/2021
3/29/2021,4.4500,89.4500,27,21,4.30,4.40,4.55,4.60,0,3/30/2021
3/26/2021,4.3100,118.5000,33,20,4.15,4.25,4.40,4.65,0,3/29/2021
3/25/2021,4.4100,89.8500,33,23,4.20,4.35,4.50,4.84,0,3/26/2021
3/24/2021,4.2800,115.7200,39,22,4.05,4.20,4.34,4.40,0,3/25/2021
3/23/2021,4.2200,106.6000,30,23,4.20,4.20,4.32,4.40,0,3/24/2021
3/22/2021,4.2400,150.7500,40,20,4.20,4.20,4.30,4.40,0,3/23/2021
3/19/2021,4.1400,126.5000,34,21,4.05,4.10,4.20,4.40,0,3/22/2021
3/18/2021,4.1100,117.4000,35,20,3.95,4.10,4.15,4.20,0,3/19/2021
3/17/2021,4.1200,97.4500,35,22,3.80,4.03,4.15,4.20,0,3/18/2021
3/16/2021,4.1300,75.5500,23,20,3.80,4.05,4.20,4.25,0,3/17/2021
3/15/2021,4.1300,71.8500,27,19,4.00,4.10,4.20,4.30,0,3/16/2021
3/12/2021,4.1400,67.9500,20,16,4.00,4.10,4.15,4.25,0,3/15/2021
3/11/2021,4.1100,42.6500,19,16,4.00,4.10,4.15,4.25,0,3/12/2021
3/10/2021,4.0900,63.4500,22,23,3.85,4.05,4.10,4.20,0,3/11/2021
