Date,RUB=X
2019-09-19,64.21089935302734
2019-09-20,63.97919845581055
2019-09-23,63.95249938964844
2019-09-24,63.76890182495117
2019-09-25,64.0000991821289
2019-09-26,64.1498031616211
2019-09-27,64.21510314941406
2019-09-30,64.62210083007812
2019-10-01,64.82050323486328
2019-10-02,65.22969818115234
2019-10-03,65.21649932861328
2019-10-04,65.07640075683594
2019-10-07,64.66439819335938
2019-10-08,64.94409942626953
2019-10-09,65.15540313720703
2019-10-10,65.01730346679688
2019-10-11,64.3927001953125
2019-10-14,64.2396011352539
2019-10-15,64.25240325927734
2019-10-16,64.2781982421875
2019-10-17,64.08270263671875
2019-10-18,64.06490325927734
2019-10-21,63.890201568603516
2019-10-22,63.725101470947266
2019-10-23,63.6526985168457
2019-10-24,63.90380096435547
